Austria,Autriche,Austria,Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,420//450,1.0 on 5.0 off,,,,ringing
Austria,Autriche,Austria,Special information tone,Tonalité spéciale d'information - ,Tono especial de información - ,950/1400/1800,3x0.33 on 1.0 off,,,,special_information
Austria,Autriche,Austria,Warning tone (operator intervening),Tonalité d'avertissement - intervention d’opératrice,Tono de aviso - intervención de la operadora   ,420//450,0.15 on 0.15 off 0.15 on 1.95 off,,,,warning
Austria,Autriche,Austria,Waiting tone,Tonalité d'attente - ,Tono de espera - ,420,0.04 on 1.95 off,,,,waiting
Bahamas (Commonwealth of the),Bahamas (Commonwealth des),Bahamas (Commonwealth de las),Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,480//620/120,0.5 on 0.5 off,,,,busy
Bahamas (Commonwealth of the),Bahamas (Commonwealth des),Bahamas (Commonwealth de las),Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,480//620/120,0.25 on 0.2 off,,,,congestion
Bahamas (Commonwealth of the),Bahamas (Commonwealth des),Bahamas (Commonwealth de las),Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,480//620,2.0 on 4.0 off,,,,ringing
Bahrain (Kingdom of),Bahreïn (Royaume de),Bahrein (Reino de),Acceptance tone,Tonalité d'acceptation - ,Tono de aceptación - ,425,0.06 on 0.06 off,,,,acceptance
Bahrain (Kingdom of),Bahreïn (Royaume de),Bahrein (Reino de),Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,425,0.375 on 0.375 off,,,,busy
Bahrain (Kingdom of),Bahreïn (Royaume de),Bahrein (Reino de),Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,425,0.40 on 0.35 off 0.225 on 0.525 off,,,,congestion
Bahrain (Kingdom of),Bahreïn (Royaume de),Bahrein (Reino de),Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,330x440,continuous,,,,dial
Bahrain (Kingdom of),Bahreïn (Royaume de),Bahrein (Reino de),Number unobtainable tone,Tonalité d'abonné inaccessible - ,Tono de abonado inaccesible - ,425,continuous,,,,number_unobtainable
Bahrain (Kingdom of),Bahreïn (Royaume de),Bahrein (Reino de),Pay tone,Tonalité de paiement - ,Tono de pago - ,816/1209,O.125 on 1.5 off,,,,pay
Bahrain (Kingdom of),Bahreïn (Royaume de),Bahrein (Reino de),Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,425,0.4 on 0.2 off 0.4 on 2.0 off,,,,ringing
Bahrain (Kingdom of),Bahreïn (Royaume de),Bahrein (Reino de),Route tone,Tonalité d'acheminement - ,Tono de encaminamiento - ,425,0.06 on 0.06 off,,,,route
Bahrain (Kingdom of),Bahreïn (Royaume de),Bahrein (Reino de),Call waiting tone,Tonalité d'appel en attente - ,Tono de indicación de llamada en espera - ,425,0.2 on 0.6 off 0.2 on 5.0 off,,,,call_waiting
Bangladesh (People's Republic of),Bangladesh (République populaire du),Bangladesh (República Popular de),Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,450,0.2 on 0.3 off 0.7 on 0.8 off,,,,busy
Bangladesh (People's Republic of),Bangladesh (République populaire du),Bangladesh (República Popular de),Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,450,0.25 on 0.25 off,,,,congestion
Bangladesh (People's Republic of),Bangladesh (République populaire du),Bangladesh (República Popular de),Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,450,continuous,,,,dial
Bangladesh (People's Republic of),Bangladesh (République populaire du),Bangladesh (República Popular de),Special dial tone,Tonalité de numérotation spéciale - ,Tono especial de invitación a marcar - ,450,0.4 on 0.4 off,,,,special_dial
Bangladesh (People's Republic of),Bangladesh (République populaire du),Bangladesh (República Popular de),Howler tone,Tonalité d'hurlement - ,Tono aullador - ,3000,continuous,,,,howler
Bangladesh (People's Republic of),Bangladesh (République populaire du),Bangladesh (República Popular de),Pay tone,Tonalité de paiement - ,Tono de pago - ,800/1900,continuous,,,,pay
Bangladesh (People's Republic of),Bangladesh (République populaire du),Bangladesh (República Popular de),Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,450,1.0 on 4.0 off,,,,ringing
Bangladesh (People's Republic of),Bangladesh (République populaire du),Bangladesh (República Popular de),Warning tone (operator intervening),Tonalité d'avertissement - intervention d’opératrice,Tono de aviso - intervención de la operadora   ,450,0.20 on 0.02 off 0.20 on 1.40 off,,,,warning
Bangladesh (People's Republic of),Bangladesh (République populaire du),Bangladesh (República Popular de),Call waiting tone,Tonalité d'appel en attente - ,Tono de indicación de llamada en espera - ,450,3.0 on 10.0 off,,,,call_waiting
Barbados,Barbade,Barbados,Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,480+620,0.5 on 0.5 off,,,,busy
Barbados,Barbade,Barbados,Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,480+620,0.25 on 0.25 off,,,,congestion
Barbados,Barbade,Barbados,Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,350+440,continuous,,,,dial
Barbados,Barbade,Barbados,Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,440+480,2.0 on 4.0 off,,,,ringing
Barbados,Barbade,Barbados,Special information tone,Tonalité spéciale d'information - ,Tono especial de información - ,950/1400/1800,3x0.33 on,,,,special_information
Barbados,Barbade,Barbados,Call waiting tone,Tonalité d'appel en attente - ,Tono de indicación de llamada en espera - ,440,2x(0.3 on 10.0 off),,,,call_waiting
Belarus (Republic of),Bélarus (République du),Belarús (República de),Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,425,0.4 on 0.4 off,,,,busy
Belarus (Republic of),Bélarus (République du),Belarús (República de),Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,425,0.8 on 3.2 off,,,,ringing
Belgium,Belgique,Bélgica,Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,425,0.5 on 0.5 off,,,,busy
Belgium,Belgique,Bélgica,Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,425,0.167 on 0.167 off,,,,congestion
Belgium,Belgique,Bélgica,Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,425,continuous,,,,dial
Belgium,Belgique,Bélgica,Special dial tone,Tonalité de numérotation spéciale - ,Tono especial de invitación a marcar - ,425,1.0 on 0.25 off,,,,special_dial
Belgium,Belgique,Bélgica,Holding tone,Tonalité de garde - ,Tono de retención - ,1400,0.4 on 15.0 off,,,,holding
Belgium,Belgique,Bélgica,Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,425,1.0 on 3.0 off,,,,ringing
Belgium,Belgique,Bélgica,Special information tone,Tonalité spéciale d'information - ,Tono especial de información - ,900/1400/1800,3x0.33 on 1.0 off,,,,special_information
Belgium,Belgique,Bélgica,Call waiting tone,Tonalité d'appel en attente - ,Tono de indicación de llamada en espera - ,1400,0.175 on 0.175 off 0.175 on 3.50 off,,,,call_waiting
Benin (Republic of),Bénin (République du),Benin (República de),Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,440//425,0.5 on 0.5 off,,,,busy
Benin (Republic of),Bénin (République du),Benin (República de),Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,…,announcement,,,,congestion
Benin (Republic of),Bénin (République du),Benin (República de),Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,440//425,continuous,,,,dial
Benin (Republic of),Bénin (République du),Benin (República de),Special dial tone,Tonalité de numérotation spéciale - ,Tono especial de invitación a marcar - ,330+440,continuous,,,,special_dial
Benin (Republic of),Bénin (République du),Benin (República de),Pay tone,Tonalité de paiement - ,Tono de pago - ,…,announcement,,,,pay
Benin (Republic of),Bénin (République du),Benin (República de),Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,440//425,1.7 on 3.3 off,,,,ringing
Benin (Republic of),Bénin (République du),Benin (República de),Route tone,Tonalité d'acheminement - ,Tono de encaminamiento - ,440//425,0.05 on 0.05 off,,,,route
Benin (Republic of),Bénin (République du),Benin (República de),Special information tone,Tonalité spéciale d'information - ,Tono especial de información - ,…,announcement,,,,special_information
Benin (Republic of),Bénin (République du),Benin (República de),Call waiting tone,Tonalité d'appel en attente - ,Tono de indicación de llamada en espera - ,440,continuous,,,,call_waiting
Bermuda,Bermudes,Bermudas,Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,480+620,0.5 on 0.5 off,,,,busy
